"sip","sport","dip","dport","proto","first_timestamp","pl_fwd_count","pl_len_fwd_total","pl_bwd_count","pl_len_bwd_total","dd","dn","dns","ds","application","app","traffic_type"
"10.0.2.15",44512,"52.149.21.60",443,6,1678488074270943,21,21739,7,3589,"Unknown","Microsoft","Unknown","Unknown","Skype","Skype","Unknown"
"10.0.2.15",44506,"52.149.21.60",443,6,1678488074318244,0,0,1,483,"Unknown","Microsoft","Unknown","Unknown","Microsoft","Unknown","Unknown"
"10.0.2.15",41820,"23.213.188.163",443,6,1678488074629267,8,630,695,772719,"Unknown","Unknown","Unknown","Unknown","Skype","Skype","Unknown"
"10.0.2.15",48427,"20.202.24.72",3478,17,1678488075116926,8371,993121,8800,1147836,"Microsoft","Unknown","world.relay.skype.com/b-tr-skysc-ussc-01.southcentralus.cloudapp.azure.com","Unknown","Microsoft","Skype","Audio Chat"
"10.0.2.15",42208,"20.202.23.70",443,6,1678488075207905,13,1800,6,384,"Microsoft","Unknown","world.relay.skype.com/b-tr-skysc-uswe2-01.westus2.cloudapp.azure.com","Unknown","Microsoft","Whatsapp","Text Chat"
"10.0.2.15",42222,"20.202.23.70",443,6,1678488075207972,15,2852,14,6695,"Microsoft","Unknown","world.relay.skype.com/b-tr-skysc-uswe2-01.westus2.cloudapp.azure.com","Skype","Skype","Unknown","Unknown"
"10.0.2.15",34718,"138.91.230.148",443,6,1678488075390942,55,26395,43,21619,"Skype","Microsoft","api.flightproxy.skype.com/b-flightproxy-uswe-01-skype.cloudapp.net","Skype","Skype","Skype","Unknown"
"10.0.2.15",60256,"40.86.187.166",443,6,1678488076869104,21,3974,32,16740,"Unknown","Microsoft","Unknown","Unknown","Microsoft Teams","Microsoft Teams","Unknown"
"10.0.2.15",34748,"93.184.215.201",443,6,1678488083024844,4,255,7,6612,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10.0.2.15",48427,"192.0.0.1",52783,17,1678488083041365,10,1000,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10.0.2.15",41348,"20.202.124.165",50563,6,1678488083100804,1,102,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10.0.2.15",48427,"24.114.107.249",3385,17,1678488083111469,10,1000,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"10.0.2.15",48427,"20.202.33.189",3480,17,1678488083231400,182,21226,2,204,"Unknown","Unknown","Unknown","Unknown","Skype","Skype","Audio Chat"
"10.0.2.15",43214,"52.149.21.60",443,6,1678488083302640,14,16872,6,4363,"Unknown","Microsoft","Unknown","Unknown","Skype","Skype","Unknown"
"10.0.2.15",36824,"51.105.71.136",443,6,1678488083646950,8,10481,2,852,"Unknown","Microsoft","Unknown","Unknown","Skype","Skype","Unknown"
"10.0.2.15",35286,"40.126.28.21",443,6,1678488084454305,0,0,0,0,"Unknown","Microsoft365","Unknown","Unknown","Microsoft365","Unknown","Unknown"
"10.0.2.15",43880,"13.107.237.36",443,6,1678488084454511,0,0,0,0,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
