sum_pl_fwd_count,sum_pl_bwd_count,pl_count_ratio,sum_pl_fwd_bytes,sum_pl_bwd_bytes,sum_pl_fwd_flow_count,sum_pl_bwd_flow_count,pl_flow_bwd_fwd_byte_ratio,predicted_label,true_label,anomaly_score,decision_score,normalized_anomaly_score
176,203,1.1468926553672316,8590,39463,149,174,4.59406286379511,dns_attack,dns_attack,0.7077151215938026,-0.03398397736003478,1.0
1109,1109,0.9990990990990991,49142,118449,87,87,2.41034145944406,dns_attack,dns,0.6761119906240706,-0.002380846390302782,0.8930232999639847
144,184,1.2689655172413794,6016,37048,114,139,6.158244680851064,dns,dns_attack,0.6708780082043153,0.0028531360294524744,0.8753062526293962
201,213,1.0544554455445545,8828,30307,135,145,3.4330539193475307,dns,dns_attack,0.6633851034673778,0.010346040766390008,0.8499427459816054
124,163,1.304,6858,40933,118,145,5.968649752114319,dns,dns_attack,0.6592776408835699,0.014453503350197905,0.8360389719170036
129,173,1.3307692307692307,6011,41960,118,146,6.980535684578273,dns,dns_attack,0.6589674344645297,0.014763709769238131,0.8349889221902629
1046,1070,1.0219675262655206,45658,118108,33,48,2.5867974944149985,dns,dns_attack,0.6546981046201538,0.019033039613614022,0.8205372269277262
121,152,1.2459016393442623,6555,35999,109,131,5.491838291380626,dns,dns_attack,0.6431868658225467,0.030544278411221093,0.7815716465529854
108,132,1.2110091743119267,5328,29094,94,112,5.460585585585585,dns,dns_attack,0.6181746162783007,0.05555652795546706,0.6969051013526553
116,150,1.2820512820512822,5771,32736,86,111,5.672500433200486,dns,dns_attack,0.61710447302099,0.05662667121277776,0.6932826629827815
116,139,1.188034188034188,6373,32318,107,124,5.071081123489722,dns,dns_attack,0.6169400891257043,0.05679105510806348,0.6927262229682283
96,128,1.3195876288659794,5264,32761,83,105,6.223594224924012,dns,dns_attack,0.6161874595753654,0.05754368465840243,0.6901785695182596
98,133,1.3434343434343434,5145,33191,85,109,6.4511175898931,dns,dns_attack,0.6148287522968764,0.058902391936891396,0.6855793410080566
105,134,1.2641509433962264,5575,33597,93,112,6.026367713004484,dns,dns_attack,0.6113079461081664,0.062423198125601376,0.6736614007288071
123,151,1.217741935483871,5421,27136,73,92,5.00571850212138,dns,dns_attack,0.6100600996709784,0.06367104456278938,0.6694374365231743
12,15,1.1538461538461537,624,1218,4,7,1.9519230769230769,dns,dns_attack,0.6086066564895172,0.06512448774425061,0.6645175266765362
98,134,1.3535353535353536,4849,36474,86,109,7.521963291400288,dns,dns_attack,0.6067519392286335,0.06697920500513432,0.6582393027796951
92,151,1.6236559139784945,5006,44921,79,109,8.97343188174191,dns,dns_attack,0.6062607282548053,0.06747041597896253,0.6565765520524982
126,150,1.1811023622047243,5510,27125,81,99,4.922867513611616,dns,dns_attack,0.6052753876811228,0.06845575655264502,0.6532411710396135
14,47,3.1333333333333333,714,17878,8,30,25.03921568627451,dns,dns_attack,0.6040957159321602,0.06963542830160763,0.6492479783730198
14,43,2.8666666666666667,694,15692,8,29,22.610951008645532,dns,dns_attack,0.5988282208093518,0.07490292342441596,0.6314174904307484
9,16,1.6,420,4145,8,13,9.869047619047619,dns,dns_attack,0.5982386796578618,0.07549246457590597,0.6294218917357255
15,37,2.3125,737,12511,8,26,16.975576662143826,dns,dns_attack,0.5981728142307287,0.07555833000303913,0.629198937052915
20,58,2.761904761904762,974,20760,10,36,21.31416837782341,dns,dns_attack,0.5980589232554625,0.07567222097830528,0.6288134157351215
14,47,3.1333333333333333,690,17805,10,33,25.804347826086957,dns,dns_attack,0.594973846172244,0.07875729806152376,0.6183704198802
22,61,2.652173913043478,956,21065,14,42,22.034518828451883,dns,dns_attack,0.5945660777103993,0.07916506652336852,0.616990122324597
21,61,2.772727272727273,989,21818,14,38,22.060667340748232,dns,dns_attack,0.5941786983311411,0.07955244590262667,0.6156788418791654
10,24,2.1818181818181817,471,3515,6,13,7.462845010615712,dns,dns_attack,0.5939475862432125,0.07978355799055525,0.6148965267177746
99,132,1.32,4833,32245,76,97,6.671839437202566,dns,dns_attack,0.5927145398131402,0.08101660442062764,0.6107226605838569
18,50,2.6315789473684212,849,17617,10,31,20.75029446407538,dns,dns_attack,0.5910726771458591,0.0826584670879087,0.6051649501713574
17,50,2.7777777777777777,802,18275,10,29,22.786783042394013,dns,dns_attack,0.5896116662967473,0.08411947793702046,0.6002194237453689
17,48,2.6666666666666665,805,16598,10,25,20.61863354037267,dns,dns_attack,0.5889399822242776,0.08479116200949022,0.5979457709984817
16,51,3.0,781,18984,9,29,24.30729833546735,dns,dns_attack,0.5870406157855693,0.08669052844819847,0.5915164094910168
20,72,3.4285714285714284,924,28149,13,44,30.464285714285715,dns,dns_attack,0.5870119807997766,0.08671916343399122,0.5914194799719568
86,130,1.4942528735632183,4615,36177,77,100,7.8390032502708555,dns,dns_attack,0.5858477504596131,0.08788339377415466,0.587478556523841
23,67,2.7916666666666665,1062,25398,15,41,23.915254237288135,dns,dns_attack,0.5853838722627123,0.08834727197105552,0.585908327334504
23,65,2.7083333333333335,1081,22963,14,40,21.242368177613322,dns,dns_attack,0.5845947578149419,0.08913638641882593,0.5832371723893159
22,65,2.8260869565217392,1006,23943,13,44,23.80019880715706,dns,dns_attack,0.5827977861894481,0.09093335804431968,0.5771544176541037
104,116,1.1047619047619048,5357,22397,84,96,4.180884823595296,dns,dns_attack,0.5821141407476645,0.09161700348610324,0.5748402756335957
14,22,1.4666666666666666,646,4855,9,16,7.515479876160991,dns,dns_attack,0.5819594128080037,0.09177173142576411,0.5743165210599066
15,38,2.375,726,12562,9,24,17.303030303030305,dns,dns_attack,0.5816454234203531,0.0920857208134147,0.5732536659722458
23,62,2.5833333333333335,1089,21907,16,36,20.11662075298439,dns,dns_attack,0.58163623231236,0.09209491192140784,0.5732225540421108
17,48,2.6666666666666665,820,16670,11,31,20.329268292682926,dns,dns_attack,0.5813107684128404,0.09242037582092744,0.5721208576948469
18,30,1.5789473684210527,912,7814,10,19,8.567982456140351,dns,dns_attack,0.5809510109025113,0.09278013333125645,0.5709030773646311
18,23,1.2105263157894737,892,2044,8,13,2.291479820627803,dns,dns_attack,0.5808530240880903,0.09287812014567753,0.57057139168248
107,118,1.0925925925925926,5348,21551,73,84,4.029730740463725,dns,dns_attack,0.5807329049898026,0.09299823924396522,0.5701647881482153
17,35,1.9444444444444444,842,10058,9,22,11.945368171021377,dns,dns_attack,0.5795568050395558,0.09417433919421203,0.5661836860317693
24,56,2.24,1097,17897,14,39,16.314494074749316,dns,dns_attack,0.5783663487037196,0.09536479553004817,0.5621539875039021
22,48,2.0869565217391304,1050,14698,11,28,13.998095238095239,dns,dns_attack,0.5773472557958722,0.09638388843789558,0.5587043547312496
136,146,1.0656934306569343,5984,22904,83,93,3.8275401069518717,dns,dns_attack,0.5762516731259821,0.09747947110778565,0.5549958038679272
90,116,1.2747252747252746,4915,28441,81,98,5.786571719226856,dns,dns_attack,0.5749646486660718,0.09876649556769601,0.5506392219292986
21,56,2.5454545454545454,950,18987,13,31,19.986315789473686,dns,dns_attack,0.5748209334822372,0.09891021075153061,0.5501527455695221
17,21,1.1666666666666667,816,3514,10,14,4.306372549019608,dns,dns_attack,0.57456274932528,0.09916839490848783,0.5492787913673478
25,72,2.769230769230769,1171,25168,15,41,21.49274124679761,dns,dns_attack,0.57370186335949,0.10002928087427776,0.5463646896026926
17,45,2.5,822,15425,12,29,18.765206812652067,dns,dns_attack,0.5733127912567098,0.10041835297705803,0.5450476792826908
9,9,0.9,443,577,8,8,1.3024830699774266,dns,dns,0.5730839183161365,0.10064722591763131,0.5442729436423039
10,10,0.9090909090909091,468,576,6,6,1.2307692307692308,dns,dns,0.5724617739395953,0.10126937029417249,0.5421669829255609
22,42,1.826086956521739,962,11709,14,25,12.171517671517671,dns,dns_attack,0.571894937468,0.10183620676576777,0.5402482396450485
26,68,2.5185185185185186,1237,23661,13,39,19.12772837510105,dns,dns_attack,0.5698422195171476,0.10388892471662015,0.5332997827754684
81,111,1.353658536585366,4411,29343,75,96,6.652233053729313,dns,dns_attack,0.5674915713776393,0.1062395728561285,0.5253428312585049
18,12,0.631578947368421,801,1295,12,10,1.616729088639201,dns,dns,0.567127838777285,0.10660330545648278,0.5241115952357613
24,44,1.76,1098,13064,14,23,11.897996357012751,dns,dns_attack,0.5657726096013592,0.10795853463240856,0.5195241401139279
16,16,0.9411764705882353,810,985,8,8,1.2160493827160495,dns,dns,0.564017128878936,0.10971401535483183,0.5135818322191328
21,37,1.6818181818181819,982,9705,14,22,9.882892057026476,dns,dns_attack,0.563655555966937,0.11007558826683084,0.5123579067484219
112,129,1.1415929203539823,4744,19077,56,69,4.02129005059022,dns,dns_attack,0.5634602416852125,0.11027090254855532,0.5116967672762347
23,35,1.4583333333333333,954,8671,13,21,9.08909853249476,dns,dns_attack,0.5626604236681593,0.11107072056560852,0.5089893807145789
17,24,1.3333333333333333,704,2795,14,21,3.9701704545454546,dns,dns_attack,0.5620999354978331,0.11163120873593468,0.5070921264542925
16,23,1.3529411764705883,820,2540,9,13,3.097560975609756,dns,dns_attack,0.5620316246193603,0.1116995196144075,0.5068608939108277
72,115,1.5753424657534247,3683,33764,68,97,9.16752647298398,dns,dns_attack,0.5619318209142278,0.11179932331954001,0.5065230580477711
25,38,1.4615384615384615,1210,9321,9,19,7.703305785123967,dns,dns_attack,0.5612170759769199,0.11251406825684784,0.504103644134831
80,103,1.271604938271605,4329,26130,73,90,6.036036036036036,dns,dns_attack,0.5610525456352207,0.11267859859854712,0.5035467083986964
83,107,1.2738095238095237,4441,26070,74,93,5.870299482098626,dns,dns_attack,0.5606254718360988,0.113105672397669,0.5021010622142832
26,64,2.3703703703703702,1260,22291,18,41,17.69126984126984,dns,dns_attack,0.5601321861952153,0.11359895803855247,0.5004312887324278
66,119,1.7761194029850746,3645,39419,55,80,10.814540466392318,dns,dns_attack,0.5598277371683259,0.11390340706544189,0.4994007277966457
87,107,1.2159090909090908,4647,24765,76,92,5.329244673983215,dns,dns_attack,0.5596183254635546,0.11411281877021318,0.4986918685020776
23,41,1.7083333333333333,1018,11288,16,23,11.088408644400786,dns,dns_attack,0.5592471221939942,0.11448402203977359,0.49743534424002944
14,14,0.9333333333333333,680,1009,7,7,1.4838235294117648,dns,dns,0.5590590424708639,0.11467210176290388,0.4967986937719655
79,96,1.2,4309,21444,70,83,4.976560686934324,dns,dns_attack,0.5583197097729239,0.1154114344608439,0.4942960502101583
106,111,1.0373831775700935,5294,18005,71,75,3.4010200226671703,dns,dns_attack,0.5580820764816627,0.11564906775210504,0.493491660754501
24,34,1.36,1070,6603,17,25,6.171028037383177,dns,dns_attack,0.5572053703064173,0.11652577392735053,0.4905240075299271
88,101,1.1348314606741574,4688,20873,70,81,4.452431740614334,dns,dns_attack,0.556469489301608,0.11726165493215979,0.48803304796047553
33,87,2.5588235294117645,1483,29744,26,56,20.056641942009442,dns,dns_attack,0.5560636599632736,0.11766748427049423,0.4866593143441955
80,109,1.345679012345679,3934,26641,59,82,6.7719877986781905,dns,dns_attack,0.5558830418116538,0.11784810242211397,0.4860479213197073
71,107,1.4861111111111112,3889,31763,62,81,8.167395217279505,dns,dns_attack,0.555368684128215,0.11836246010555274,0.48430681890598914
61,113,1.8225806451612903,3309,36321,56,82,10.976427923844062,dns,dns_attack,0.5548918085046644,0.11883933572910343,0.482692593385615
126,128,1.0078740157480315,6178,19225,99,101,3.1118484946584655,dns,dns_attack,0.5547115948201183,0.11901954941364945,0.48208256948347294
70,92,1.295774647887324,3828,22219,60,80,5.804336468129572,dns,dns_attack,0.5522438392436904,0.12148730499007743,0.4737292089156677
84,96,1.1294117647058823,4522,22293,77,84,4.9298982750995135,dns,dns_attack,0.5505045983017806,0.12322654593198723,0.46784187273017275
76,88,1.1428571428571428,4008,20714,67,73,5.168163672654691,dns,dns_attack,0.550200171799532,0.12353097243423583,0.46681138804037237
18,19,1.0,872,1646,10,11,1.8876146788990826,dns,dns_attack,0.5496046714619193,0.12412647277184852,0.46479561748114673
27,31,1.1071428571428572,1258,5445,10,14,4.328298887122417,dns,dns_attack,0.549588104302538,0.12414303993122977,0.46473953759332565
28,54,1.8620689655172413,1500,17337,21,38,11.558,dns,dns_attack,0.5478403874428204,0.1258907567909474,0.45882351039877434
75,87,1.144736842105263,4058,18184,72,80,4.481025135534746,dns,dns_attack,0.5473233840462458,0.12640776018752198,0.45707345223757745
43,84,1.9090909090909092,2261,26904,38,64,11.899159663865547,dns,dns_attack,0.5467904180808103,0.12694072615295748,0.45526936072941604
12,12,0.9230769230769231,551,845,10,10,1.5335753176043556,dns,dns,0.5467161493101332,0.12701499492363455,0.45501796070166667
18,19,1.0,859,1722,11,12,2.0046565774155995,dns,dns,0.5466776516131012,0.12705349262066656,0.454887645873322
93,106,1.127659574468085,4299,19029,72,84,4.426378227494766,dns,dns_attack,0.5465535119276721,0.1271776323060957,0.45446743263864486
25,32,1.2307692307692308,1171,5756,15,20,4.915456874466268,dns,dns_attack,0.5458443053123408,0.12788683892142694,0.45206676596341855
65,105,1.5909090909090908,2610,26064,57,81,9.986206896551725,dns,dns_attack,0.5458298290453966,0.12790131518837122,0.45201776375322544
19,23,1.15,884,3737,14,17,4.22737556561086,dns,dns_attack,0.5455570219134865,0.12817412232028125,0.4510943107337768
