,"discord","others","telegram","microsoft_teams","whatsapp","facebook_messenger","signal","total_flows","recall","precision","weighted_precision","f1_score",,,,
"discord",223,9,1,9,1,21,14,278,80.22,49.67,67.86,73.52,,,,
"others",30,434,5,7,3,15,95,589,73.68,79.49,68.96,71.25,,,,
"telegram",68,37,195,7,0,4,203,514,37.94,89.04,90.08,53.39,,,,
"microsoft_teams",85,14,3,1370,4,38,62,1576,86.93,96.55,87.71,87.32,,,,
"whatsapp",19,27,0,4,95,15,25,185,51.35,89.62,96.94,67.14,,,,
"facebook_messenger",24,14,14,20,3,334,191,600,55.67,77.14,69.81,61.94,,,,
"signal",0,11,1,2,0,6,204,224,91.07,25.69,45.31,60.51,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"discord","others","telegram","microsoft_teams","whatsapp","facebook_messenger","signal","total_flows","recall","precision","weighted_precision","f1_score",,,,
"discord",184,32,6,16,9,22,9,278,66.19,78.63,89.88,76.23,,,,
"others",13,415,14,24,6,33,84,589,70.46,67.92,58.44,63.89,,,,
"telegram",0,100,383,16,6,4,5,514,74.51,81.49,83.82,78.89,,,,
"microsoft_teams",27,22,49,1434,11,22,11,1576,90.99,90.25,71.4,80.01,,,,
"whatsapp",5,22,7,18,110,11,12,185,59.46,75.86,89.98,71.6,,,,
"facebook_messenger",5,11,7,80,3,314,180,600,52.33,76.21,68.28,59.25,,,,
"signal",0,9,4,1,0,6,204,224,91.07,40.4,62.07,73.82,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"discord","others","telegram","microsoft_teams","whatsapp","facebook_messenger","signal","total_flows","recall","precision","weighted_precision","f1_score",,,,
"discord",130,33,16,54,8,33,4,278,46.76,61.03,70.75,56.31,,,,
"others",24,420,15,43,0,54,33,589,71.31,52.17,44.82,55.04,,,,
"telegram",1,120,167,209,2,14,1,514,32.49,58.39,54.12,40.6,,,,
"microsoft_teams",31,84,39,1325,8,41,48,1576,84.07,74.73,44.34,58.06,,,,
"whatsapp",23,17,23,26,76,12,8,185,41.08,80.85,91.59,56.72,,,,
"facebook_messenger",4,73,26,99,0,292,106,600,48.67,64.46,57.5,52.71,,,,
"signal",0,58,0,17,0,7,142,224,63.39,41.52,66.27,64.8,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,74.37
,,,,,,,,,,,,,,,,66.24
,"baseline","L_0.01","L_0.001","L_0.0001",,,,,,,,,,,,76.69
"discord",74.37,73.52,76.23,56.31,,,,,,,,,,,,82
"others",66.24,71.25,63.89,55.04,,,,,,,,,,,,68.64
"telegram",76.69,53.39,78.89,40.6,,,,,,,,,,,,59.57
"microsoft_teams",82,87.32,80.01,58.06,,,,,,,,,,,,69.18
"whatsapp",68.64,67.14,71.6,56.72,,,,,,,,,,,,
"facebook_messenger",59.57,61.94,59.25,52.71,,,,,,,,,,,,
"signal",69.18,60.51,73.82,64.8,,,,,,,,,,,,
