bucket,sum_pl_fwd_count,sum_pl_bwd_count,sum_pl_fwd_bytes,sum_pl_bwd_bytes,sum_pl_fwd_flow_count,sum_pl_bwd_flow_count,avg_pl_fwd_count,avg_pl_bwd_count,avg_pl_fwd_bytes,avg_pl_bwd_bytes,sum_pkt_fwd_count,sum_pkt_bwd_count,sum_pkt_fwd_bytes,sum_pkt_bwd_bytes,sum_pkt_fwd_flow_count,sum_pkt_bwd_flow_count,avg_pkt_fwd_count,avg_pkt_bwd_count,avg_pkt_fwd_bytes,avg_pkt_bwd_bytes,bucket_size,label,pl_flow_fwd_bwd_byte_ratio_sum,pl_flow_fwd_bwd_byte_ratio_avg,pkt_flow_fwd_bwd_byte_ratio_sum,pkt_flow_fwd_bwd_byte_ratio_avg,pl_flow_bwd_fwd_byte_ratio,pkt_flow_bwd_fwd_byte_ratio,pl_flow_count_ratio,pkt_flow_count_ratio,pkt_count_ratio,pl_count_ratio
0,72,52,2394,3852,30,30,2.4,1.7333333333333334,79.8,128.4,152,152,8330,9788,30,30,5.066666666666666,5.066666666666666,277.6666666666667,326.26666666666665,30,dns,0.6214953271028038,0.6214953271028036,0.8510420923579893,0.8510420923579894,1.6090225563909775,1.1750300120048018,1.0,1.0,0.9934640522875817,0.7123287671232876
1,52,46,2064,3783,19,19,2.736842105263158,2.4210526315789473,108.63157894736842,199.10526315789474,76,76,4696,6415,19,19,4.0,4.0,247.1578947368421,337.63157894736844,19,dns,0.5455987311657414,0.5455987311657415,0.7320342946219798,0.7320342946219797,1.8328488372093024,1.3660562180579217,1.0,1.0,0.987012987012987,0.8679245283018868
2,58,74,2028,5299,25,29,2.0,2.5517241379310347,69.93103448275862,182.72413793103448,90,114,5220,9163,25,29,3.103448275862069,3.9310344827586206,180.0,315.9655172413793,29,dns,0.38271371956973016,0.38271371956973016,0.5696824184219142,0.5696824184219142,2.6129191321499015,1.7553639846743294,1.16,1.16,1.2527472527472527,1.2542372881355932
3,32,30,1482,1672,8,8,4.0,3.75,185.25,209.0,40,40,2770,2960,8,8,5.0,5.0,346.25,370.0,8,dns,0.8863636363636364,0.8863636363636364,0.9358108108108109,0.9358108108108109,1.1282051282051282,1.068592057761733,1.0,1.0,0.975609756097561,0.9090909090909091
4,56,46,2062,3954,18,18,3.111111111111111,2.5555555555555554,114.55555555555556,219.66666666666666,96,96,5590,7482,18,18,5.333333333333333,5.333333333333333,310.55555555555554,415.6666666666667,18,dns,0.5214972180070815,0.5214972180070815,0.7471264367816092,0.7471264367816092,1.9175557710960234,1.3384615384615384,1.0,1.0,0.9896907216494846,0.8070175438596491
5,32,28,1420,1552,9,9,3.5555555555555554,3.111111111111111,157.77777777777777,172.44444444444446,48,48,3100,3232,9,9,5.333333333333333,5.333333333333333,344.44444444444446,359.1111111111111,9,dns,0.9149484536082474,0.9149484536082473,0.9591584158415841,0.9591584158415842,1.0929577464788733,1.0425806451612902,1.0,1.0,0.9795918367346939,0.8484848484848485
6,66,57,2522,4963,29,29,2.2758620689655173,1.9655172413793103,86.96551724137932,171.13793103448276,102,102,6134,8575,29,29,3.5172413793103448,3.5172413793103448,211.51724137931035,295.6896551724138,29,dns,0.5081603868627846,0.5081603868627846,0.71533527696793,0.7153352769679301,1.9678826328310863,1.397945875448321,1.0,1.0,0.9902912621359223,0.8507462686567164
7,42,36,1616,2319,15,15,2.8,2.4,107.73333333333333,154.6,66,66,3968,4671,15,15,4.4,4.4,264.53333333333336,311.4,15,dns,0.696852091418715,0.696852091418715,0.8494968957396704,0.8494968957396705,1.4350247524752475,1.1771673387096775,1.0,1.0,0.9850746268656716,0.8372093023255814
8,54,42,1878,2733,21,21,2.5714285714285716,2.0,89.42857142857143,130.14285714285714,102,102,5742,6597,21,21,4.857142857142857,4.857142857142857,273.42857142857144,314.14285714285717,21,dns,0.6871569703622393,0.6871569703622393,0.8703956343792633,0.8703956343792633,1.4552715654952078,1.1489028213166144,1.0,1.0,0.9902912621359223,0.7636363636363637
9,52,46,2144,4131,14,14,3.7142857142857144,3.2857142857142856,153.14285714285714,295.07142857142856,76,76,4776,6763,14,14,5.428571428571429,5.428571428571429,341.14285714285717,483.07142857142856,14,dns,0.5190026627935125,0.5190026627935125,0.7061954753807482,0.7061954753807482,1.9267723880597014,1.4160385259631492,1.0,1.0,0.987012987012987,0.8679245283018868
10,76,56,2386,4063,30,30,2.533333333333333,1.8666666666666667,79.53333333333333,135.43333333333334,156,156,8434,10111,30,30,5.2,5.2,281.1333333333333,337.03333333333336,30,dns,0.5872507999015506,0.5872507999015506,0.8341410345168628,0.8341410345168627,1.7028499580888516,1.1988380365188522,1.0,1.0,0.9936305732484076,0.7272727272727273
11,54,52,2250,4231,17,17,3.176470588235294,3.0588235294117645,132.35294117647058,248.88235294117646,62,62,4154,6135,17,17,3.6470588235294117,3.6470588235294117,244.35294117647058,360.88235294117646,17,dns,0.5317891751359016,0.5317891751359016,0.6770986145069274,0.6770986145069274,1.8804444444444444,1.4768897448242657,1.0,1.0,0.9841269841269841,0.9454545454545454
